timestamp,speed_kmph,acceleration_mps2,gyroscope_pitch,gyroscope_roll,gyroscope_yaw
2024-11-16 22:29:50,0.16,0.16,-0.35,6.93,-6.96
2024-11-16 22:29:51,0.45,0.29,0.3,8.61,-10.86
2024-11-16 22:29:52,2.92,2.47,2.44,7.44,3.32
2024-11-16 22:29:53,4.03,1.11,2.02,0.14,-2.17
2024-11-16 22:29:54,6.89,2.86,2.79,4.22,2.84
2024-11-16 22:29:55,8.35,1.46,0.64,-0.63,-13.17
2024-11-16 22:29:56,8.76,0.41,-0.55,2.42,-1.59
2024-11-16 22:29:57,10.15,1.39,0.82,8.76,6.46
2024-11-16 22:29:58,10.89,0.74,-0.05,-5.61,-6.98
2024-11-16 22:29:59,12.49,1.6,1.17,-10.2,-7.0
2024-11-16 22:30:00,12.89,0.4,0.16,8.67,-9.08
2024-11-16 22:30:01,15.5,2.61,2.64,1.73,-9.16
2024-11-16 22:30:02,16.39,0.89,0.73,4.25,-11.84
2024-11-16 22:30:03,17.45,1.06,1.54,5.12,-4.54
2024-11-16 22:30:04,20.13,2.68,2.27,-6.06,-4.02
2024-11-16 22:30:05,21.95,1.82,1.3,2.51,-12.61
2024-11-16 22:30:06,22.94,0.99,1.68,-4.87,9.55
2024-11-16 22:30:07,22.95,0.01,-0.4,3.93,-10.18
2024-11-16 22:30:08,24.85,1.9,2.92,1.34,14.3
2024-11-16 22:30:09,25.99,1.14,1.33,3.17,-7.73
2024-11-16 22:30:10,28.38,2.39,3.06,-4.26,-5.46
2024-11-16 22:30:11,29.73,1.35,0.43,3.54,-1.83
2024-11-16 22:30:12,30.77,1.04,1.97,6.89,2.58
2024-11-16 22:30:13,31.0,0.23,0.23,5.71,-11.9
2024-11-16 22:30:14,32.96,1.96,0.95,-1.99,-10.1
2024-11-16 22:30:15,33.78,0.82,0.69,4.44,12.47
2024-11-16 22:30:16,34.66,0.88,0.32,6.55,11.06
2024-11-16 22:30:17,36.13,1.47,0.78,-0.61,-1.16
2024-11-16 22:30:18,38.1,1.97,1.24,7.63,-5.22
2024-11-16 22:30:19,40.0,1.9,1.47,-7.68,-4.95
2024-11-16 22:30:20,40.92,0.92,1.01,-0.71,-14.23
2024-11-16 22:30:21,43.37,2.45,2.07,-9.95,5.54
2024-11-16 22:30:22,45.72,2.35,3.06,4.36,13.22
2024-11-16 22:30:23,46.47,0.75,0.31,5.09,-7.77
2024-11-16 22:30:24,48.08,1.61,1.04,-2.67,0.05
2024-11-16 22:30:25,50.48,2.4,1.38,2.64,6.1
2024-11-16 22:30:26,52.32,1.84,1.27,-8.63,2.51
2024-11-16 22:30:27,53.55,1.23,0.3,-1.0,-0.8
2024-11-16 22:30:28,52.28,-1.27,-1.22,-8.84,-5.97
2024-11-16 22:30:29,52.77,0.49,0.91,4.11,0.88
2024-11-16 22:30:30,54.28,1.51,0.61,-5.47,9.8
2024-11-16 22:30:31,51.41,-2.87,-3.65,-0.06,10.32
2024-11-16 22:30:32,49.43,-1.98,-2.26,8.15,-9.44
2024-11-16 22:30:33,49.74,0.31,-0.2,3.9,4.88
2024-11-16 22:30:34,51.71,1.97,0.93,4.45,-10.2
2024-11-16 22:30:35,49.81,-1.9,-2.18,-6.16,7.92
2024-11-16 22:30:36,47.58,-2.23,-1.2,-6.41,-9.86
2024-11-16 22:30:37,46.89,-0.69,-1.05,-7.54,-8.36
2024-11-16 22:30:38,46.6,-0.29,-0.68,-6.44,6.74
2024-11-16 22:30:39,47.27,0.67,0.38,-2.64,-9.85
2024-11-16 22:30:40,45.29,-1.98,-2.94,-10.19,12.24
2024-11-16 22:30:41,48.21,2.92,2.75,-5.14,2.14
2024-11-16 22:30:42,50.87,2.66,2.19,6.78,-12.98
2024-11-16 22:30:43,50.5,-0.37,-0.95,-0.28,1.01
2024-11-16 22:30:44,50.25,-0.25,-0.79,0.68,-12.51
2024-11-16 22:30:45,48.14,-2.11,-2.02,-5.11,-10.25
2024-11-16 22:30:46,48.48,0.34,-0.52,3.67,-4.14
2024-11-16 22:30:47,50.21,1.73,2.02,-5.72,5.0
2024-11-16 22:30:48,48.54,-1.67,-0.89,2.75,5.12
2024-11-16 22:30:49,48.43,-0.11,0.47,1.21,-2.81
2024-11-16 22:30:50,50.72,2.29,2.65,0.26,-10.02
2024-11-16 22:30:51,52.77,2.05,2.26,8.24,-3.12
2024-11-16 22:30:52,55.52,2.75,1.95,9.44,-4.5
2024-11-16 22:30:53,56.5,0.98,0.36,-2.36,4.27
2024-11-16 22:30:54,54.57,-1.93,-1.13,8.7,6.4
2024-11-16 22:30:55,56.77,2.2,2.11,-6.7,-15.35
2024-11-16 22:30:56,58.72,1.95,1.94,-3.12,-11.17
