timestamp,speed_kmph,acceleration_mps2,gyroscope_pitch,gyroscope_roll,gyroscope_yaw
2024-11-17 01:33:05,2.91,2.91,2.0,-7.77,-1.14
2024-11-17 01:33:06,4.93,2.02,1.45,9.45,-6.9
2024-11-17 01:33:07,7.13,2.2,2.75,-9.98,5.47
2024-11-17 01:33:08,9.05,1.92,2.93,5.71,3.92
2024-11-17 01:33:09,11.76,2.71,2.54,-8.64,10.28
2024-11-17 01:33:10,12.53,0.77,0.39,0.9,-1.19
2024-11-17 01:33:11,12.7,0.17,0.84,4.17,3.28
2024-11-17 01:33:12,12.83,0.13,-0.49,-8.7,-9.55
2024-11-17 01:33:13,13.04,0.21,-0.73,4.03,-11.43
2024-11-17 01:33:14,14.41,1.37,0.37,2.04,10.23
2024-11-17 01:33:15,16.21,1.8,1.61,0.75,-11.24
2024-11-17 01:33:16,16.23,0.02,-0.81,-4.02,3.66
2024-11-17 01:33:17,18.37,2.14,2.46,-6.73,3.43
2024-11-17 01:33:18,20.25,1.88,2.6,4.47,1.82
2024-11-17 01:33:19,22.47,2.22,2.39,-7.83,-8.99
2024-11-17 01:33:20,22.81,0.34,0.64,3.43,8.42
2024-11-17 01:33:21,25.4,2.59,1.91,-6.18,14.26
2024-11-17 01:33:22,27.69,2.29,3.02,8.2,-11.12
2024-11-17 01:33:23,28.8,1.11,1.47,5.76,-13.05
2024-11-17 01:33:24,31.6,2.8,2.98,-7.83,6.07
2024-11-17 01:33:25,31.8,0.2,1.12,-4.82,-11.97
2024-11-17 01:33:26,34.75,2.95,2.11,-5.52,-10.55
2024-11-17 01:33:27,36.08,1.33,1.69,-9.0,2.91
2024-11-17 01:33:28,37.98,1.9,1.02,6.03,12.38
2024-11-17 01:33:29,39.78,1.8,1.88,-2.14,-13.84
2024-11-17 01:33:30,42.63,2.85,2.4,7.99,-2.29
2024-11-17 01:33:31,43.68,1.05,1.69,5.77,-4.87
2024-11-17 01:33:32,44.25,0.57,0.31,7.01,3.05
2024-11-17 01:33:33,45.77,1.52,2.31,-2.08,13.44
